name;EN;PT;TT;
dashboard_label_pay;PAY MONEY;PAGAR DINHEIRO;SELU OSAN;
dashboard_label_receive;REQUEST MONEY;SOLICITAR DINHEIRO;HUSU OSAN;
dashboard_label_transfers;TRANSFERS;TRANSFERÊNCIAS;TRANSFERÉNSIA SIRA ;
dashboard_label_vendors;VENDORS MAP;MAPA DE VENDEDORES;MAPA VENDEDÓR SIRA ;
dashboard_show_my_balance;Show My Balance;Mostrar meu saldo;Hatudu ha’u-nia saldo ;
dashboard_title;Mautinoa;XXXXXXXXXXXX;XXXXXXXXXXXX;
debug_title;Debug;XXXXXXXXXXXX;XXXXXXXXXXXX;
error_invalidamount;Invalid amount;Quantidade inválida;Kuantidade invalidu ;
f2f_error_aborted;You aborted the transaction;Você cancelou a transação;Ita kansela tranzasaun ;
f2f_status_connecting;No connection established yet;Sem conexão estabelecida ainda;Seidauk iha koneksaun estabelesidu ;
f2f_status_disconnection;\\nA disconnection occurred before the transaction was completed.\\nNo money has been exchanged.\\nPlease try again.\\n;Ocorreu uma disconexão antes da transação completar. Nenhum dinheiro foi trocado. Por favor, tente novamente.;Dezkoneksaun akontese ona molok tranzasaun kompletu. La iha osan trokadu ona. Favor koko fila-fali. ;
f2f_status_established;Connection established. Transaction in progress.;Conexão estabelecida. Transação em andamento.;Koneksaun estabelesidu ona. Tranzasaun la'o hela;
f2f_status_success;Transaction successful;Transação bem sucedida.;Tranzasaun susesu ho di'ak ;
f2f_title_pay;Pay Money;Pagar Dinheiro;Selu Osan;
f2f_title_receive;Request Money;Solicitar Dinheiro;Husu Osan;
f2f_title_receiving;Receiving Money;Recebendo Dinheiro;Simu osan;
f2f_title_sending;Sending Money;Enviando Dinheiro;Haruka osan;
f2f_warn_bundle;transactionBundle not available yet;XXXXXXXXXXXX;XXXXXXXXXXXX;
list_loading;Loading…;Carregando;karega hela ;
list_notransfer;No Transfer Yet;Sem Transferências Ainda;Seidauk transferensia ida;
list_synctransfers;Sync transfers;Sincronizar transferëncias;Sinkroniza transferénsia sira;
map_title;Vendors Map;Mapa de vendedores;Mapa vendedór sira;
menu_chat;Chat;XXXXXXXXXXXX;XXXXXXXXXXXX;
menu_debug;Debug Screen;XXXXXXXXXXXX;XXXXXXXXXXXX;
metadata_title;Developer Metadata;XXXXXXXXXXXX;XXXXXXXXXXXX;
nearby_hint_amount;Amount;Quantidade;Kuantidade ;
nfc_about_to_pay;You are about to pay;Você está prestes a pagar;Ita besik atu selu;
nfc_cardandphone;Put the card to the back of your phone now;XXXXXXXXXXXX;XXXXXXXXXXXX;
nfc_cardfound;Card found. Connecting. Don\'t move it!;XXXXXXXXXXXX;XXXXXXXXXXXX;
nfc_enter_paycard_pin;Enter your Paycard PIN;Insira seu PIN do Cartão;Hatama ita-nia kartaun PIN;
nfc_from;from %1$s;XXXXXXXXXXXX;XXXXXXXXXXXX;
nfc_nosupport;Your device does not support NFC;Seu aparelho não suporta NFC;Ita-nia aparellu seidauk suporta NFC;
nfc_phone_paycard;Bring your phone and Paycard together;Aproxime seu telemóvel e de seu Cartão de Pagamento;Lori ita-nia telemovel no kartaun pagamentu hamutuk;
nfc_phones_together;Bring the phones together;Aproxime os telemóveis;Lori ita-nia telemovel hamutuk ;
nfc_pleaseenable;Please enable NFC;Por favor, habilite NFC;Favor habele NFC;
nfc_removecard;Remove card;Remova o cartão;Hasai  kartaun ;
nfc_to;to %1$s;XXXXXXXXXXXX;XXXXXXXXXXXX;
nfc_transfer_failed;Transfer failed. Please try again;Transferência falhou. Por favor, tente novamente.;Transferensia failla, Favor tenta fila-fali ;
nfc_twocards_amount_of;Amount of;XXXXXXXXXXXX;XXXXXXXXXXXX;
nfc_twocards_amount_paid;Amount paid;XXXXXXXXXXXX;XXXXXXXXXXXX;
nfc_twocards_cta;Receive Money;Receber Dinheiro;Simu osan;
nfc_twocards_present_receivers_pay_card;Hold receiver\'s Paycard\nto receive money;Segure o cartão do destinatário para receber dinheiro;Rai simu-nain nia kartaun pagamentu atu simu osan;
nfc_twocards_present_senders_pay_card;Bring buyers paycard to your phone;Aproxime o cartão do comprador de seu telemóvel;Lori sosa-nain nia kartaun pagamentu ba ita-nia telemovel;
nfc_twocards_received;received;XXXXXXXXXXXX;XXXXXXXXXXXX;
nfc_twocards_title;Two Cards;Dois cartões;Kartaun rua;
nfc_you_paid;You paid;Você pagou;Ita selu ona;
nfc_you_received_payment;You received;Você recebeu;Ita simu ona;
onboarding_1_content;"""Welcome!  Mautinoa allows you to receive digital money from an NGO and exchange it for all purposes of day-to-day life.  """;Bem vindo! Mautinoa permite que você receba dinheiro digital de uma ONG e troque-o para todos os usos do dia a dia. Primeiro, nós precisamos verificar se você foi inscrito por uma ONG para participar desse programa;Benvindu! Mautiona permite ita atu simu osan dijitál husi ONG ruma no troka hodi uza ba moris loron-loron. Dahuluk, ami presiza verefika tantu ita rejistu ona husi ONG ida hodi hola parte iha programa ne’e.;
onboarding_1_cta_eligibility;Check your eligibility;VERIFICAR SUA ELIGIBILIDADE;Verefika ita-nie elejibilidade;
onboarding_1_cta_signup;Sign Up Now;Inscrever-se agora;Tama/asesu agora ;
onboarding_1_title;Mautinoa Payments;Mautinoa Payments;Mautinoa Payments;
onboarding_2_content;Let\'s set up your smartphone together so that you can do payments.\n\nWe have detected the following issues:\n\n;Vamos configurar seu smartphone juntos para que você possa realizar pagamentos. Nós detectamos os seguintes problemas:;Mai ita konfigura ita-nia smartpnoe hamutuk nune’e it abele realiza pagamentu sira;
onboarding_2_cta_nfc;Enable NFC;Habilitar NFC;Habele NFC;
onboarding_2_cta_permissions;Grant permissions;CONCEDER PERMISSÃO;Fó lisensa ;
onboarding_2_cta_play;Update Google Play Services;XXXXXXXXXXXX;XXXXXXXXXXXX;
onboarding_2_title;Checking your configuration;Verificando configurações;Verefika ita-nia konfigurasaun;
onboarding_3_cta_success;Let\'s do it!;Vamos fazer!;Mai ita halo ida ne’e!;
onboarding_3_title;Success!;Sucesso!;Susesu!;
onboarding_desc_git;First we need to check that you have been enrolled by an NGO to take part in this program.\n;Primeiro, nós precisamos verificar se você foi inscrito por uma ONG para participar desse programa.;Dahuluk, ami presiza verefika tantu ita rejistu ona husi ONG ida hodi hola parte iha programa ne’e.;
onboarding_desc_nfc;- NFC needs to be enabled\n;NFC precisa ser habilitado.;NFC presiza ativadu;
onboarding_desc_permissions;- Please grant us permissions\n;- Por favor, conceda-nos permissões;Favór ida, fó ami lisensa sira;
onboarding_desc_play;- Google Play Services needs to be updated\n;XXXXXXXXXXXX;XXXXXXXXXXXX;
onboarding_desc_signup;Please create your account;XXXXXXXXXXXX;XXXXXXXXXXXX;
onboarding_desc_success;You can now do face-to-face and remote payments!;XXXXXXXXXXXX;XXXXXXXXXXXX;
onboarding_error_cta;Cancel;Cancelar;Kansela;
onboarding_error_desc;You are currently not eligible.\n\nPlease contact your NGO representative.;XXXXXXXXXXXX;XXXXXXXXXXXX;
onboarding_error_title;Not Eligible;Não elegível;La elejivel ;
onboarding_title;Onboarding;Introdução;Introdusaun;
pay_label_or;OR;XXXXXXXXXXXX;XXXXXXXXXXXX;
pay_select_recipient;Choose a person;Escolha uma pessoa;Hili ema ida;
pay_title;Pay money;Pagar Dinheiro;Selu Osan;
pay_tonearby;To a nearby device;Para um dispositivo próximo;Atu dispozitivu ida tuirmai;
profile_firstname;First Name;Primeiro Nome;Naran dahuluk;
profile_info;Please enter your info;Por favor, insira seus dados;Favór ida, hatama ita-nia dadus;
profile_lastname;Last Name;Último Nome;Naran ikus;
profile_nodata;Enter your first and last name;XXXXXXXXXXXX;XXXXXXXXXXXX;
profile_submit;Submit Profile;Enviar perfil;Haruka/hatada perfíl;
profile_title;User Profile;Perfil de usuário;Uzadór perfíl;
remote_alreaydyinprogress;Transaction in progress;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_hint_amount;Amount;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_label_send;Send Money;Enviar Dinheiro;Haruka osan;
remote_nfccardphone;Put the card to the back of your phone now;Aproxime o cartão da parte de trás do seu telemóvel;Tau kartaun iha parte kotuk ba ita-nia telemovel ;
remote_removecard;Remove card;Remover cartão;Hasai kartaun ;
remote_status_amount;Invalid amount;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_error;Sending money failed: %s;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_noteligible;This user is not eligible to perform transactions.;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_payyourself;You cannot send money to yourself.;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_permissions;Requesting Android Permissions;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_pin;Asking for PIN;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_ready;Ready to send a remote payment to %s;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_receiver;Synchronizing receiver %s;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_sender;Synchronizing myself;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_success;We successfully sent %s;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_status_youaborted;You aborted the payment;XXXXXXXXXXXX;XXXXXXXXXXXX;
remote_success;Transfer successful;Transferência bem sucedida.;Transferensia susesu ho di'ak ;
remote_title;Remote Payment;Pagamento Remoto;Pagamentu ho remoto ;
request_fromcard;From a Card;DE UM CARTÀO;Husi kartaun ida;
request_label_amount;Enter Amount;Insira Quantidade;Hatama kuantidade;
request_label_cancel;Cancel;Cancelar;Kansela;
request_label_or;OR;XXXXXXXXXXXX;XXXXXXXXXXXX;
request_label_sendrequest;Send Request;Enviar solicitação;Husu/pedidu haruka ;
request_title;Request money;Solicitar dinheiro;Husu osan;
request_tonearby;From a Nearby Device;DE UM DISPOSITIVO PRÓXIMO;Husi dispozitivu ida tuirmai;
shortcut_debug;Debug;XXXXXXXXXXXX;XXXXXXXXXXXX;
shortcut_nologic;Screens;XXXXXXXXXXXX;XXXXXXXXXXXX;
signup_activity_title;SMS Verification;Verificação SMS;Verefikasaun SMS;
signup_button_cta;Verify Phone Number;VERIFICAR NÚMERO DE TELEMÓVEL;Verefika ita-nia númeru telemovel;
signup_edit_phone;Phone number;Número de telemóvel;Númeru telemovel;
signup_invalid_credentials;Please login again, your credentials are now invalid;XXXXXXXXXXXX;XXXXXXXXXXXX;
signup_label_title;Enter your phone number;Insira o seu número de telemóvel;Hatama ita-nia númeru telemovel;
signup_nophonenumber;Enter your phone number and try again;XXXXXXXXXXXX;XXXXXXXXXXXX;
signup_numbertoobig;Phone number too large;XXXXXXXXXXXX;XXXXXXXXXXXX;
signup_title;Sign Up;Inscrever-se;Tama/asesu;
transfers_syncdone;sync done;Sincronização realizada;Halo ona sinkornizasaun;
transfers_title;Transfers;Transferências;TRANSFERÉNSIA SIRA;
twocards_hint_amount;Amount;XXXXXXXXXXXX;XXXXXXXXXXXX;
users_title;Send Money To…;Enviar dinheiro para...;Haruka osan ba;
verification_button_resend;Send a new SMS;Enviar Novo SMS;Haruka SMS foun;
verification_button_submit;Verify;Verificar;Verefika;
verification_label_title;Enter the code received by SMS;Insira o código recebido por SMS;Hatama ita-nia kódigu simu husi SMS;
verification_title_signup;SMS Verification;Verificação SMS;Verefikasaun SMS;